invoice_number,stock_code,detail,quantity,invoice_date,unit_price,customer_id,country
543797,22241,GARLAND WOODEN HAPPY EASTER,24,2011-02-13,1.250,15465,United Kingdom
543797,48185,DOORMAT FAIRY CAKE,3,2011-02-13,7.950,15465,United Kingdom
543797,22507,MEMO BOARD RETROSPOT  DESIGN,3,2011-02-13,4.950,15465,United Kingdom
543797,22505,MEMO BOARD COTTAGE DESIGN,3,2011-02-13,4.950,15465,United Kingdom
543797,21621,VINTAGE UNION JACK BUNTING,3,2011-02-13,8.500,15465,United Kingdom
543797,21754,HOME BUILDING BLOCK WORD,3,2011-02-13,5.950,15465,United Kingdom
543797,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,3,2011-02-13,9.950,15465,United Kingdom
543797,22776,SWEETHEART CAKESTAND 3 TIER,12,2011-02-13,8.500,15465,United Kingdom
543798,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2011-02-13,1.250,15058,United Kingdom
543798,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-02-13,1.250,15058,United Kingdom
543798,22147,FELTCRAFT BUTTERFLY HEARTS,12,2011-02-13,1.450,15058,United Kingdom
543798,22568,FELTCRAFT CUSHION OWL,3,2011-02-13,3.750,15058,United Kingdom
543798,22149,FELTCRAFT 6 FLOWER FRIENDS,14,2011-02-13,2.100,15058,United Kingdom
543798,22149,FELTCRAFT 6 FLOWER FRIENDS,10,2011-02-13,2.100,15058,United Kingdom
543798,22150,3 STRIPEY MICE FELTCRAFT,9,2011-02-13,1.950,15058,United Kingdom
543798,22570,FELTCRAFT CUSHION RABBIT,3,2011-02-13,3.750,15058,United Kingdom
543799,21754,HOME BUILDING BLOCK WORD,8,2011-02-13,5.950,17236,United Kingdom
543799,21755,LOVE BUILDING BLOCK WORD,4,2011-02-13,5.950,17236,United Kingdom
543799,21136,PAINTED METAL PEARS ASSORTED,8,2011-02-13,1.690,17236,United Kingdom
543799,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-02-13,1.690,17236,United Kingdom
543799,21928,JUMBO BAG SCANDINAVIAN PAISLEY,4,2011-02-13,1.950,17236,United Kingdom
543800,22082,RIBBON REEL STRIPES DESIGN ,10,2011-02-13,1.650,17282,United Kingdom
543800,22469,HEART OF WICKER SMALL,5,2011-02-13,1.650,17282,United Kingdom
543800,22961,JAM MAKING SET PRINTED,6,2011-02-13,1.450,17282,United Kingdom
543800,22989,SET 2 PANTRY DESIGN TEA TOWELS,3,2011-02-13,3.250,17282,United Kingdom
543800,35095A,BLUE VICTORIAN FABRIC OVAL BOX,6,2011-02-13,0.420,17282,United Kingdom
543800,20675,BLUE POLKADOT BOWL,4,2011-02-13,1.250,17282,United Kingdom
543800,22652,TRAVEL SEWING KIT,3,2011-02-13,1.650,17282,United Kingdom
543800,22482,BLUE TEA TOWEL CLASSIC DESIGN,4,2011-02-13,1.250,17282,United Kingdom
543800,21669,BLUE STRIPE CERAMIC DRAWER KNOB,6,2011-02-13,1.250,17282,United Kingdom
543800,21669,BLUE STRIPE CERAMIC DRAWER KNOB,6,2011-02-13,1.250,17282,United Kingdom
543800,21244,BLUE POLKADOT PLATE ,4,2011-02-13,1.690,17282,United Kingdom
543800,21240,BLUE POLKADOT CUP,4,2011-02-13,0.850,17282,United Kingdom
543800,22130,PARTY CONE CHRISTMAS DECORATION ,6,2011-02-13,0.850,17282,United Kingdom
543800,21918,SET 12 KIDS COLOUR  CHALK STICKS,144,2011-02-13,0.420,17282,United Kingdom
